index	name	voxel_count	x	y	z
1	CC200_001	162	-39.6	-85.4	1.4
2	CC200_002	269	-49.7	-60.8	23.2
3	CC200_003	284	13.3	-64.4	24.0
4	CC200_004	243	-36.6	-13.9	-2.3
5	CC200_005	222	-6.8	45.7	7.8
6	CC200_006	267	9.1	-35.9	47.1
7	CC200_007	247	55.2	-47.5	41.9
8	CC200_008	235	-40.7	-21.3	54.3
9	CC200_009	235	-19.3	-62.1	-26.1
10	CC200_010	204	43.3	-55.2	-32.2
11	CC200_011	287	-58.9	-30.2	-2.4
12	CC200_012	154	27.7	58.2	-1.6
13	CC200_013	239	2.8	12.4	49.4
14	CC200_014	289	53.8	-55.4	23.5
15	CC200_015	173	13.5	12.3	-7.0
16	CC200_016	261	-49.1	-65.4	-4.3
17	CC200_017	240	46.0	9.1	32.1
18	CC200_018	212	11.6	-20.0	9.5
19	CC200_019	291	-9.9	-67.4	22.4
20	CC200_020	191	-32.7	19.7	2.0
21	CC200_021	215	-8.8	-38.0	69.3
22	CC200_022	213	6.7	42.6	6.1
23	CC200_023	200	-42.1	41.2	13.3
24	CC200_024	191	-58.1	-26.9	16.0
25	CC200_025	207	44.5	40.7	14.5
26	CC200_026	240	43.2	-73.6	-10.9
27	CC200_027	153	-30.5	-5.1	-32.6
28	CC200_028	240	30.4	-33.7	63.4
29	CC200_029	154	1.6	-16.5	34.8
30	CC200_030	194	2.9	-28.0	-36.0
31	CC200_031	207	29.7	-54.6	59.7
32	CC200_032	170	43.5	9.9	-36.2
33	CC200_033	183	-56.5	-43.3	26.5
34	CC200_034	198	-45.6	8.0	31.7
35	CC200_035	193	41.0	-4.7	10.8
36	CC200_036	163	-40.1	-52.6	-33.2
37	CC200_037	234	-13.4	-32.3	0.8
38	CC200_038	235	42.4	23.8	37.6
39	CC200_039	193	62.9	-43.0	-7.8
40	CC200_040	297	1.6	33.3	24.3
41	CC200_041	177	30.1	-39.3	-31.6
42	CC200_042	92	-28.3	50.7	-11.6
43	CC200_043	156	-38.9	5.7	-39.4
44	CC200_044	221	13.5	-94.4	2.2
45	CC200_045	202	-8.2	-17.9	10.6
46	CC200_046	227	1.9	-38.2	32.2
47	CC200_047	256	-13.8	12.6	-2.9
48	CC200_048	236	18.5	-34.6	-1.8
49	CC200_049	222	61.9	-21.1	-15.6
50	CC200_050	211	-28.2	-6.3	58.0
51	CC200_051	222	-0.1	38.9	-12.2
