index	name	voxel_count	x	y	z
1	CC400_001	111	-10.5	-49.4	-7.3
2	CC400_002	110	28.6	55.2	18.2
3	CC400_003	100	-58	-10.6	26.1
4	CC400_004	84	14.5	11	12.6
5	CC400_005	138	63.8	-36.3	17.9
6	CC400_006	127	-43.7	-76.8	19
7	CC400_007	70	-22.7	7.5	52.8
8	CC400_008	138	38.1	-65.7	45.3
9	CC400_009	118	-32.6	21.9	3.2
10	CC400_010	102	-37.6	-28.7	15.6
11	CC400_011	140	0.7	-51.3	19.3
12	CC400_012	99	29.2	-4.4	-22.1
13	CC400_013	126	-37.6	-76.1	-24.7
14	CC400_014	49	-12.7	2.8	16.7
15	CC400_015	117	45.6	20.2	38.8
16	CC400_016	79	39	3.3	56.9
17	CC400_017	73	40.6	-62.7	-34.9
18	CC400_018	96	-19.8	-69.3	-25.9
19	CC400_019	87	-43.3	16.1	-22.4
20	CC400_020	105	-6.7	-17.7	44.1
21	CC400_021	94	-6.8	-11.6	10.9
22	CC400_022	94	41.9	-8.9	14.9
23	CC400_023	108	59.8	-5.2	29
24	CC400_024	155	-15.2	-91.6	-14.1
25	CC400_025	79	-27.5	32.8	-15.9
26	CC400_026	112	51.8	-65.6	19
27	CC400_027	103	-0.3	-53.7	-23.7
28	CC400_028	125	-8.4	-16.1	71.9
29	CC400_029	94	7.9	32.8	27.5
30	CC400_030	125	-44.8	-57.9	19.7
31	CC400_031	60	39.6	45.6	-11.8
32	CC400_032	109	-40.5	7.3	30.7
33	CC400_034	103	52.1	3.3	-29.9
34	CC400_035	147	-38	-29.4	56.3
35	CC400_036	59	-58	-20.4	-11.2
36	CC400_037	134	15.6	-68.3	29.8
37	CC400_038	152	0.3	28.2	-8.8
38	CC400_039	114	-32.4	10.9	-7.3
39	CC400_040	106	42.2	-16.8	45
40	CC400_041	99	-30	-40	-32.5
41	CC400_042	88	-28.6	-4.1	6.1
42	CC400_043	96	-24.2	-96.1	6.2
43	CC400_044	37	25.2	46.1	-13.9
44	CC400_045	70	-31.1	-6.9	-33.9
45	CC400_046	98	38.9	-22.3	14.9
46	CC400_047	76	1.1	6.4	31.8
47	CC400_048	82	58.6	-22.8	-20.6
48	CC400_049	116	-53	-27.4	44.1
49	CC400_050	69	-0.9	-20.4	-12.3
50	CC400_051	142	-9	-66.1	56.5
51	CC400_052	127	52.9	-36.9	4.9
52	CC400_053	141	-1.3	47.3	31.7
53	CC400_054	94	3.7	-28.4	72.2
54	CC400_055	96	29.6	-38.1	-32.8
55	CC400_056	114	54.1	6.5	34.8
56	CC400_057	116	-62.8	-36.4	-6.2
57	CC400_058	194	-12.4	-67.7	23
58	CC400_059	113	-9.1	29.5	55.7
59	CC400_060	108	7.6	44.7	16.1
60	CC400_061	126	14.4	-55.7	65.2
61	CC400_062	116	32	-88.7	-8.8
62	CC400_063	94	18.9	-96.3	-4
63	CC400_064	124	53.8	16.5	10.3
64	CC400_065	122	-56.9	-25.3	18.3
65	CC400_066	103	-63.3	-39.8	9.2
66	CC400_067	85	14.5	18.6	2.7
67	CC400_068	121	62.2	-23.3	29.4
68	CC400_069	99	64.6	-14.9	-11.6
69	CC400_070	136	28.3	-74.8	-13.8
70	CC400_071	93	4.3	-17.3	-2.6
71	CC400_072	96	-28.3	-6.5	53.2
72	CC400_073	99	-32.9	-53.5	43.1
73	CC400_074	110	-44.6	39.4	4.7
74	CC400_075	101	36.8	23.7	1.8
75	CC400_076	166	12.6	-72.8	-7
76	CC400_077	130	-8.7	-33.4	43
