index	name	color
1	Hippocampus_L	#dcd814
2	Hippocampus_R	#dcd814
3	Amygdala_L	#67ffff
4	Amygdala_R	#67ffff
5	Caudate_L	#7abadc
6	Caudate_R	#7abadc
7	Putamen_L	#ec0db0
8	Putamen_R	#ec0db0
9	Pallidum_L	#0c30ff
10	Pallidum_R	#0c30ff
11	Cerebellum_Crus1_L	#e69422
12	Cerebellum_Crus1_R	#2294e6
13	Cerebellum_Crus2_L	#7abadc
14	Cerebellum_Crus2_R	#0c30ff
15	Cerebellum_3_L	#4682b4
16	Cerebellum_3_R	#4682b4
17	Cerebellum_4_5_L	#f5f5f5
18	Cerebellum_4_5_R	#f5f5f5
19	Cerebellum_6_L	#c43afa
20	Cerebellum_6_R	#dcf8a4
21	Cerebellum_7b_L	#ccb68e
22	Cerebellum_7b_R	#779fb0
23	Cerebellum_8_L	#dcd814
24	Cerebellum_8_R	#50c462
25	Cerebellum_9_L	#003ad2
26	Cerebellum_9_R	#ffa500
27	Cerebellum_10_L	#ffa500
28	Cerebellum_10_R	#a52a2a
29	Vermis_1_2	#00760e
30	Vermis_3	#ec0db0
31	Vermis_4_5	#2acca4
32	Vermis_6	#009400
33	Vermis_7	#2acca4
34	Vermis_8	#67ffff
35	Vermis_9	#3c3c3c
36	Vermis_10	#00ff7f
37	Thal_AV_L	#005500
38	Thal_AV_R	#005500
39	Thal_LP_L	#00557f
40	Thal_LP_R	#00557f
41	Thal_VA_L	#555500
42	Thal_VA_R	#555500
43	Thal_VL_L	#55aa00
44	Thal_VL_R	#55aa00
45	Thal_VPL_L	#ff00ff
46	Thal_VPL_R	#ff00ff
47	Thal_IL_L	#aa5500
48	Thal_IL_R	#aa5500
49	Thal_Re_L	#0000ff
50	Thal_Re_R	#0000ff
51	Thal_MDm_L	#aaaa7f
52	Thal_MDm_R	#aaaa7f
53	Thal_MDl_L	#00aa7f
54	Thal_MDl_R	#00aa7f
55	Thal_LGN_L	#00007f
56	Thal_LGN_R	#00007f
57	Thal_MGN_L	#aaff7f
58	Thal_MGN_R	#aaff7f
59	Thal_PuI_L	#aaaaff
60	Thal_PuI_R	#aaaaff
61	Thal_PuM_L	#aaffff
62	Thal_PuM_R	#aaffff
63	Thal_PuA_L	#00aaff
64	Thal_PuA_R	#00aaff
65	Thal_PuL_L	#00ffff
66	Thal_PuL_R	#00ffff
67	N_Acc_L	#ffa500
68	N_Acc_R	#ffa500
69	VTA_L	#a020f0
70	VTA_R	#a020f0
71	SN_pc_L	#00ff7f
72	SN_pc_R	#00ff7f
73	SN_pr_L	#007fff
74	SN_pr_R	#007fff
75	Red_N_L	#a52a2a
76	Red_N_R	#a52a2a
77	LC_L	#2a2aa5
78	LC_R	#2a2aa5
79	Raphe_D	#ff00ff
80	Raphe_M	#ffff00
81	R_V1_ROI	#4b05ff
82	R_MST_ROI	#346c84
83	R_V6_ROI	#435eab
84	R_V2_ROI	#1a36ee
85	R_V3_ROI	#121fef
86	R_V4_ROI	#1323df
87	R_V8_ROI	#1e3dd0
88	R_4_ROI	#27ae1c
89	R_3b_ROI	#28c216
90	R_FEF_ROI	#889093
91	R_PEF_ROI	#a6b3a9
92	R_55b_ROI	#6e694d
93	R_V3A_ROI	#1746fc
94	R_RSC_ROI	#9d427e
95	R_POS2_ROI	#d273c9
96	R_V7_ROI	#1a5cc1
97	R_IPS1_ROI	#397aac
98	R_FFC_ROI	#395e79
99	R_V3B_ROI	#2948de
100	R_LO1_ROI	#1143cf
101	R_LO2_ROI	#1435b6
102	R_PIT_ROI	#2036ba
103	R_MT_ROI	#215d6a
104	R_A1_ROI	#e80b2b
105	R_PSL_ROI	#bb9086
106	R_SFL_ROI	#413933
107	R_PCV_ROI	#858e9b
108	R_STV_ROI	#906f6c
109	R_7Pm_ROI	#9ecdbe
110	R_7m_ROI	#302d30
111	R_POS1_ROI	#5e526b
112	R_23d_ROI	#853456
113	R_v23ab_ROI	#1d0613
114	R_d23ab_ROI	#541c36
115	R_31pv_ROI	#461334
116	R_5m_ROI	#2fab31
117	R_5mv_ROI	#8d9e81
118	R_23c_ROI	#d6bec3
119	R_5L_ROI	#429f47
120	R_24dd_ROI	#479f2c
121	R_24dv_ROI	#779a43
122	R_7AL_ROI	#78be82
123	R_SCEF_ROI	#879469
124	R_6ma_ROI	#97a988
125	R_7Am_ROI	#aaf6dc
126	R_7PL_ROI	#a7ffe8
127	R_7PC_ROI	#4ab169
128	R_LIPv_ROI	#4181af
129	R_VIP_ROI	#3b9595
130	R_MIP_ROI	#81c9c5
131	R_1_ROI	#1cc22a
132	R_2_ROI	#39b347
133	R_3a_ROI	#35de1c
134	R_6d_ROI	#24a12a
135	R_6mp_ROI	#4d9f31
136	R_6v_ROI	#58b543
137	R_p24pr_ROI	#97906f
138	R_33pr_ROI	#795d5b
139	R_a24pr_ROI	#ae7b7c
140	R_p32pr_ROI	#ab8f81
141	R_a24_ROI	#500a22
142	R_d32_ROI	#742940
143	R_8BM_ROI	#85505c
144	R_p32_ROI	#79334f
145	R_10r_ROI	#1b0006
146	R_47m_ROI	#5d353b
147	R_8Av_ROI	#5b4443
148	R_8Ad_ROI	#403b2f
149	R_9m_ROI	#311b17
150	R_8BL_ROI	#291f17
151	R_9p_ROI	#423333
152	R_10d_ROI	#2a1b18
153	R_8C_ROI	#7a535c
154	R_44_ROI	#865e5b
155	R_45_ROI	#523d38
156	R_47l_ROI	#391b1f
157	R_a47r_ROI	#624247
158	R_6r_ROI	#b9c79b
159	R_IFJa_ROI	#8a7164
160	R_IFJp_ROI	#838a80
161	R_IFSp_ROI	#846975
162	R_IFSa_ROI	#d2c5bb
163	R_p9-46v_ROI	#998787
164	R_46_ROI	#c4c6b9
165	R_a9-46v_ROI	#af7895
166	R_9-46d_ROI	#a07a92
167	R_9a_ROI	#46393b
168	R_10v_ROI	#000701
169	R_a10p_ROI	#80546e
170	R_10pp_ROI	#3a2c36
171	R_11l_ROI	#7d5e6e
172	R_13l_ROI	#765662
173	R_OFC_ROI	#352428
174	R_47s_ROI	#451f23
175	R_LIPd_ROI	#94b0c5
176	R_6a_ROI	#80c590
177	R_i6-8_ROI	#7a756a
178	R_s6-8_ROI	#685852
179	R_43_ROI	#958742
180	R_OP4_ROI	#649d2b
181	R_OP1_ROI	#5d8f23
182	R_OP2-3_ROI	#91763c
183	R_52_ROI	#c94438
184	R_RI_ROI	#a3532b
185	R_PFcm_ROI	#ac9258
186	R_PoI2_ROI	#847b52
187	R_TA2_ROI	#87231e
188	R_FOP4_ROI	#c6938e
189	R_MI_ROI	#a67771
190	R_Pir_ROI	#6b4f47
191	R_AVI_ROI	#97495b
192	R_AAIC_ROI	#60282e
193	R_FOP1_ROI	#937c52
194	R_FOP3_ROI	#b8856b
195	R_FOP2_ROI	#629c38
196	R_PFt_ROI	#6cc973
197	R_AIP_ROI	#83d6a1
198	R_EC_ROI	#383128
199	R_PreS_ROI	#674460
200	R_ProS_ROI	#6252b0
201	R_PeEc_ROI	#403b36
202	R_STGa_ROI	#392c1b
203	R_PBelt_ROI	#c5150d
204	R_A5_ROI	#6f2906
205	R_PHA1_ROI	#493c55
206	R_PHA3_ROI	#5f6b7d
207	R_STSda_ROI	#47382a
208	R_STSdp_ROI	#5f4136
209	R_STSvp_ROI	#5e3540
210	R_TGd_ROI	#24211b
211	R_TE1a_ROI	#080600
212	R_TE1p_ROI	#706867
213	R_TE2a_ROI	#473939
214	R_TF_ROI	#44493e
215	R_TE2p_ROI	#6c8a80
216	R_PHT_ROI	#cff6d5
217	R_PH_ROI	#4a80a0
218	R_TPOJ1_ROI	#7c5e4e
219	R_TPOJ2_ROI	#859e8a
220	R_TPOJ3_ROI	#668b8f
221	R_DVT_ROI	#7b84c5
222	R_PGp_ROI	#97c8dd
223	R_IP2_ROI	#bdafb1
224	R_IP1_ROI	#837481
225	R_IP0_ROI	#6da3d2
226	R_PFop_ROI	#a3bd82
227	R_PF_ROI	#fff7d7
228	R_PFm_ROI	#ab7a86
229	R_PGi_ROI	#3c3e38
230	R_PGs_ROI	#695252
231	R_V6A_ROI	#3466b3
232	R_VMV1_ROI	#3b46ad
233	R_VMV3_ROI	#3342a3
234	R_PHA2_ROI	#575f63
235	R_V4t_ROI	#125d84
236	R_FST_ROI	#4a9f92
237	R_V3CD_ROI	#1c46ca
238	R_LO3_ROI	#4166ae
239	R_VMV2_ROI	#4449af
240	R_31pd_ROI	#632c52
241	R_31a_ROI	#92627c
242	R_VVC_ROI	#3a437b
243	R_25_ROI	#23130d
244	R_s32_ROI	#200906
245	R_pOFC_ROI	#643946
246	R_PoI1_ROI	#b6706a
247	R_Ig_ROI	#6a8028
248	R_FOP5_ROI	#ad5e6d
249	R_p10p_ROI	#694858
250	R_p47r_ROI	#a1707d
251	R_TGv_ROI	#3e4037
252	R_MBelt_ROI	#bc0916
253	R_LBelt_ROI	#d4161e
254	R_A4_ROI	#9b2208
255	R_STSva_ROI	#2b231c
256	R_TE1m_ROI	#5c353c
257	R_PI_ROI	#7e3538
258	R_a32pr_ROI	#9e4d6a
259	R_p24_ROI	#7d254a
260	L_V1_ROI	#4309ff
261	L_MST_ROI	#305b7e
262	L_V6_ROI	#3054a8
263	L_V2_ROI	#0d33ec
264	L_V3_ROI	#0521e9
265	L_V4_ROI	#0813d4
266	L_V8_ROI	#1229be
267	L_4_ROI	#1cad14
268	L_3b_ROI	#1dcc13
269	L_FEF_ROI	#848f88
270	L_PEF_ROI	#899c93
271	L_55b_ROI	#3b5630
272	L_V3A_ROI	#023bf7
273	L_RSC_ROI	#96407b
274	L_POS2_ROI	#ba5eba
275	L_V7_ROI	#0848bb
276	L_IPS1_ROI	#2e6ba4
277	L_FFC_ROI	#395476
278	L_V3B_ROI	#132fc9
279	L_LO1_ROI	#0029b8
280	L_LO2_ROI	#081db6
281	L_PIT_ROI	#1b1fac
282	L_MT_ROI	#175160
283	L_A1_ROI	#e1162a
284	L_PSL_ROI	#62482e
285	L_SFL_ROI	#133015
286	L_PCV_ROI	#82859a
287	L_STV_ROI	#855249
288	L_7Pm_ROI	#97b8ba
289	L_7m_ROI	#212324
290	L_POS1_ROI	#4f3957
291	L_23d_ROI	#6e3851
292	L_v23ab_ROI	#130007
293	L_d23ab_ROI	#431c31
294	L_31pv_ROI	#2f1129
295	L_5m_ROI	#25a630
296	L_5mv_ROI	#90ac84
297	L_23c_ROI	#cfbbbe
298	L_5L_ROI	#359e42
299	L_24dd_ROI	#3a9f25
300	L_24dv_ROI	#779b43
301	L_7AL_ROI	#69c587
302	L_SCEF_ROI	#639052
303	L_6ma_ROI	#8bad85
304	L_7Am_ROI	#b0f4df
305	L_7PL_ROI	#acffee
306	L_7PC_ROI	#3daf6c
307	L_LIPv_ROI	#3e6fa3
308	L_VIP_ROI	#2d8e8a
309	L_MIP_ROI	#82ccc7
310	L_1_ROI	#0ac222
311	L_2_ROI	#2caf3e
312	L_3a_ROI	#2cdd15
313	L_6d_ROI	#15a022
314	L_6mp_ROI	#3da02a
315	L_6v_ROI	#43ab35
316	L_p24pr_ROI	#858362
317	L_33pr_ROI	#816f64
318	L_a24pr_ROI	#9f7a76
319	L_p32pr_ROI	#968974
320	L_a24_ROI	#410a14
321	L_d32_ROI	#5b292e
322	L_8BM_ROI	#6c5152
323	L_p32_ROI	#5d2034
324	L_10r_ROI	#130500
325	L_47m_ROI	#63524d
326	L_8Av_ROI	#37392e
327	L_8Ad_ROI	#3d3d2e
328	L_9m_ROI	#242715
329	L_8BL_ROI	#172512
330	L_9p_ROI	#24291c
331	L_10d_ROI	#1f221b
332	L_8C_ROI	#624f52
333	L_44_ROI	#475238
334	L_45_ROI	#2d4029
335	L_47l_ROI	#27311e
336	L_a47r_ROI	#514945
337	L_6r_ROI	#accd92
338	L_IFJa_ROI	#736b5c
339	L_IFJp_ROI	#808d79
340	L_IFSp_ROI	#64615c
341	L_IFSa_ROI	#b9bcae
342	L_p9-46v_ROI	#8b9087
343	L_46_ROI	#c9d2c4
344	L_a9-46v_ROI	#8b6d82
345	L_9-46d_ROI	#816f7e
346	L_9a_ROI	#2e362e
347	L_10v_ROI	#031f0a
348	L_a10p_ROI	#5c4352
349	L_10pp_ROI	#363338
350	L_11l_ROI	#816a77
351	L_13l_ROI	#573e49
352	L_OFC_ROI	#282722
353	L_47s_ROI	#3d2522
354	L_LIPd_ROI	#9bacca
355	L_6a_ROI	#79c087
356	L_i6-8_ROI	#61645a
357	L_s6-8_ROI	#5d5a4b
358	L_43_ROI	#85883c
359	L_OP4_ROI	#61962a
360	L_OP1_ROI	#5e9925
361	L_OP2-3_ROI	#857731
362	L_52_ROI	#d04b3c
363	L_RI_ROI	#a64518
364	L_PFcm_ROI	#b1915a
365	L_PoI2_ROI	#7a7e51
366	L_TA2_ROI	#7d2816
367	L_FOP4_ROI	#a98979
368	L_MI_ROI	#946e68
369	L_Pir_ROI	#5b4641
370	L_AVI_ROI	#854652
371	L_AAIC_ROI	#542128
372	L_FOP1_ROI	#8e904e
373	L_FOP3_ROI	#ac8563
374	L_FOP2_ROI	#619c39
375	L_PFt_ROI	#87df8d
376	L_AIP_ROI	#89dba4
377	L_EC_ROI	#2e3127
378	L_PreS_ROI	#5f3c58
379	L_ProS_ROI	#5c46af
380	L_PeEc_ROI	#3d4139
381	L_STGa_ROI	#2e2d17
382	L_PBelt_ROI	#bb1a07
383	L_A5_ROI	#5a2c09
384	L_PHA1_ROI	#463553
385	L_PHA3_ROI	#6a687b
386	L_STSda_ROI	#3e3522
387	L_STSdp_ROI	#393922
388	L_STSvp_ROI	#403534
389	L_TGd_ROI	#1c2417
390	L_TE1a_ROI	#030f01
391	L_TE1p_ROI	#686360
392	L_TE2a_ROI	#44403b
393	L_TF_ROI	#3c4638
394	L_TE2p_ROI	#718d80
395	L_PHT_ROI	#e9fae3
396	L_PH_ROI	#5378a0
397	L_TPOJ1_ROI	#765c45
398	L_TPOJ2_ROI	#979a8a
399	L_TPOJ3_ROI	#768792
400	L_DVT_ROI	#7179c1
401	L_PGp_ROI	#a1bbe6
402	L_IP2_ROI	#b8a6b4
403	L_IP1_ROI	#797a87
404	L_IP0_ROI	#719ace
405	L_PFop_ROI	#afc98b
406	L_PF_ROI	#fff8df
407	L_PFm_ROI	#896773
408	L_PGi_ROI	#334033
409	L_PGs_ROI	#44463b
410	L_V6A_ROI	#1c5ca6
411	L_VMV1_ROI	#3c3eb0
412	L_VMV3_ROI	#3039a6
413	L_PHA2_ROI	#5b545a
414	L_V4t_ROI	#0a4b81
415	L_FST_ROI	#529495
416	L_V3CD_ROI	#0f2eb4
417	L_LO3_ROI	#355aaa
418	L_VMV2_ROI	#453ca9
419	L_31pd_ROI	#372137
420	L_31a_ROI	#91647c
421	L_VVC_ROI	#33397b
422	L_25_ROI	#1e1709
423	L_s32_ROI	#2c2213
424	L_pOFC_ROI	#523942
425	L_PoI1_ROI	#a97366
426	L_Ig_ROI	#5c8a24
427	L_FOP5_ROI	#976066
428	L_p10p_ROI	#5d4053
429	L_p47r_ROI	#857674
430	L_TGv_ROI	#253529
431	L_MBelt_ROI	#b61312
432	L_LBelt_ROI	#e6131b
433	L_A4_ROI	#922404
434	L_STSva_ROI	#181f12
435	L_TE1m_ROI	#432f30
436	L_PI_ROI	#793531
437	L_a32pr_ROI	#804255
438	L_p24_ROI	#762546
