index	name	color
1	Hippocampus_L	#dcd814
2	Hippocampus_R	#dcd814
3	Amygdala_L	#67ffff
4	Amygdala_R	#67ffff
5	Caudate_L	#7abadc
6	Caudate_R	#7abadc
7	Putamen_L	#ec0db0
8	Putamen_R	#ec0db0
9	Pallidum_L	#0c30ff
10	Pallidum_R	#0c30ff
11	Thal_AV_L	#005500
12	Thal_AV_R	#005500
13	Thal_LP_L	#00557f
14	Thal_LP_R	#00557f
15	Thal_VA_L	#555500
16	Thal_VA_R	#555500
17	Thal_VL_L	#55aa00
18	Thal_VL_R	#55aa00
19	Thal_VPL_L	#ff00ff
20	Thal_VPL_R	#ff00ff
21	Thal_IL_L	#aa5500
22	Thal_IL_R	#aa5500
23	Thal_Re_L	#0000ff
24	Thal_Re_R	#0000ff
25	Thal_MDm_L	#aaaa7f
26	Thal_MDm_R	#aaaa7f
27	Thal_MDl_L	#00aa7f
28	Thal_MDl_R	#00aa7f
29	Thal_LGN_L	#00007f
30	Thal_LGN_R	#00007f
31	Thal_MGN_L	#aaff7f
32	Thal_MGN_R	#aaff7f
33	Thal_PuI_L	#aaaaff
34	Thal_PuI_R	#aaaaff
35	Thal_PuM_L	#aaffff
36	Thal_PuM_R	#aaffff
37	Thal_PuA_L	#00aaff
38	Thal_PuA_R	#00aaff
39	Thal_PuL_L	#00ffff
40	Thal_PuL_R	#00ffff
41	N_Acc_L	#ffa500
42	N_Acc_R	#ffa500
43	VTA_L	#a020f0
44	VTA_R	#a020f0
45	SN_pc_L	#00ff7f
46	SN_pc_R	#00ff7f
47	SN_pr_L	#007fff
48	SN_pr_R	#007fff
49	Red_N_L	#a52a2a
50	Red_N_R	#a52a2a
51	LC_L	#2a2aa5
52	LC_R	#2a2aa5
53	Raphe_D	#ff00ff
54	Raphe_M	#ffff00
55	Cbm_Left_I_IV	#ffffc2
56	Cbm_Right_I_IV	#fff1b3
57	Cbm_Left_V	#ffe2a3
58	Cbm_Right_V	#ffd295
59	Cbm_Left_VI	#ffc388
60	Cbm_Vermis_VI	#ffb37c
61	Cbm_Right_VI	#ffa371
62	Cbm_Left_CrusI	#ff9469
63	Cbm_Right_CrusI	#ff8463
64	Cbm_Left_CrusII	#fe7462
65	Cbm_Vermis_CrusII	#f96564
66	Cbm_Right_CrusII	#f1596a
67	Cbm_Left_VIIb	#e65072
68	Cbm_Vermis_VIIb	#da4a7a
69	Cbm_Right_VIIb	#cd4580
70	Cbm_Left_VIIIa	#c04185
71	Cbm_Vermis_VIIIa	#b33d8a
72	Cbm_Right_VIIIa	#a53a8d
73	Cbm_Left_VIIIb	#98378f
74	Cbm_Vermis_VIIIb	#8a3391
75	Cbm_Right_VIIIb	#7d3091
76	Cbm_Left_IX	#702c8f
77	Cbm_Vermis_IX	#63298d
78	Cbm_Right_IX	#542787
79	Cbm_Left_X	#402075
80	Cbm_Vermis_X	#2c1a5d
81	Cbm_Right_X	#1b1243
82	R_V1_ROI	#4b05ff
83	R_MST_ROI	#346c84
84	R_V6_ROI	#435eab
85	R_V2_ROI	#1a36ee
86	R_V3_ROI	#121fef
87	R_V4_ROI	#1323df
88	R_V8_ROI	#1e3dd0
89	R_4_ROI	#27ae1c
90	R_3b_ROI	#28c216
91	R_FEF_ROI	#889093
92	R_PEF_ROI	#a6b3a9
93	R_55b_ROI	#6e694d
94	R_V3A_ROI	#1746fc
95	R_RSC_ROI	#9d427e
96	R_POS2_ROI	#d273c9
97	R_V7_ROI	#1a5cc1
98	R_IPS1_ROI	#397aac
99	R_FFC_ROI	#395e79
100	R_V3B_ROI	#2948de
101	R_LO1_ROI	#1143cf
102	R_LO2_ROI	#1435b6
103	R_PIT_ROI	#2036ba
104	R_MT_ROI	#215d6a
105	R_A1_ROI	#e80b2b
106	R_PSL_ROI	#bb9086
107	R_SFL_ROI	#413933
108	R_PCV_ROI	#858e9b
109	R_STV_ROI	#906f6c
110	R_7Pm_ROI	#9ecdbe
111	R_7m_ROI	#302d30
112	R_POS1_ROI	#5e526b
113	R_23d_ROI	#853456
114	R_v23ab_ROI	#1d0613
115	R_d23ab_ROI	#541c36
116	R_31pv_ROI	#461334
117	R_5m_ROI	#2fab31
118	R_5mv_ROI	#8d9e81
119	R_23c_ROI	#d6bec3
120	R_5L_ROI	#429f47
121	R_24dd_ROI	#479f2c
122	R_24dv_ROI	#779a43
123	R_7AL_ROI	#78be82
124	R_SCEF_ROI	#879469
125	R_6ma_ROI	#97a988
126	R_7Am_ROI	#aaf6dc
127	R_7PL_ROI	#a7ffe8
128	R_7PC_ROI	#4ab169
129	R_LIPv_ROI	#4181af
130	R_VIP_ROI	#3b9595
131	R_MIP_ROI	#81c9c5
132	R_1_ROI	#1cc22a
133	R_2_ROI	#39b347
134	R_3a_ROI	#35de1c
135	R_6d_ROI	#24a12a
136	R_6mp_ROI	#4d9f31
137	R_6v_ROI	#58b543
138	R_p24pr_ROI	#97906f
139	R_33pr_ROI	#795d5b
140	R_a24pr_ROI	#ae7b7c
141	R_p32pr_ROI	#ab8f81
142	R_a24_ROI	#500a22
143	R_d32_ROI	#742940
144	R_8BM_ROI	#85505c
145	R_p32_ROI	#79334f
146	R_10r_ROI	#1b0006
147	R_47m_ROI	#5d353b
148	R_8Av_ROI	#5b4443
149	R_8Ad_ROI	#403b2f
150	R_9m_ROI	#311b17
151	R_8BL_ROI	#291f17
152	R_9p_ROI	#423333
153	R_10d_ROI	#2a1b18
154	R_8C_ROI	#7a535c
155	R_44_ROI	#865e5b
156	R_45_ROI	#523d38
157	R_47l_ROI	#391b1f
158	R_a47r_ROI	#624247
159	R_6r_ROI	#b9c79b
160	R_IFJa_ROI	#8a7164
161	R_IFJp_ROI	#838a80
162	R_IFSp_ROI	#846975
163	R_IFSa_ROI	#d2c5bb
164	R_p9-46v_ROI	#998787
165	R_46_ROI	#c4c6b9
166	R_a9-46v_ROI	#af7895
167	R_9-46d_ROI	#a07a92
168	R_9a_ROI	#46393b
169	R_10v_ROI	#000701
170	R_a10p_ROI	#80546e
171	R_10pp_ROI	#3a2c36
172	R_11l_ROI	#7d5e6e
173	R_13l_ROI	#765662
174	R_OFC_ROI	#352428
175	R_47s_ROI	#451f23
176	R_LIPd_ROI	#94b0c5
177	R_6a_ROI	#80c590
178	R_i6-8_ROI	#7a756a
179	R_s6-8_ROI	#685852
180	R_43_ROI	#958742
181	R_OP4_ROI	#649d2b
182	R_OP1_ROI	#5d8f23
183	R_OP2-3_ROI	#91763c
184	R_52_ROI	#c94438
185	R_RI_ROI	#a3532b
186	R_PFcm_ROI	#ac9258
187	R_PoI2_ROI	#847b52
188	R_TA2_ROI	#87231e
189	R_FOP4_ROI	#c6938e
190	R_MI_ROI	#a67771
191	R_Pir_ROI	#6b4f47
192	R_AVI_ROI	#97495b
193	R_AAIC_ROI	#60282e
194	R_FOP1_ROI	#937c52
195	R_FOP3_ROI	#b8856b
196	R_FOP2_ROI	#629c38
197	R_PFt_ROI	#6cc973
198	R_AIP_ROI	#83d6a1
199	R_EC_ROI	#383128
200	R_PreS_ROI	#674460
201	R_ProS_ROI	#6252b0
202	R_PeEc_ROI	#403b36
203	R_STGa_ROI	#392c1b
204	R_PBelt_ROI	#c5150d
205	R_A5_ROI	#6f2906
206	R_PHA1_ROI	#493c55
207	R_PHA3_ROI	#5f6b7d
208	R_STSda_ROI	#47382a
209	R_STSdp_ROI	#5f4136
210	R_STSvp_ROI	#5e3540
211	R_TGd_ROI	#24211b
212	R_TE1a_ROI	#080600
213	R_TE1p_ROI	#706867
214	R_TE2a_ROI	#473939
215	R_TF_ROI	#44493e
216	R_TE2p_ROI	#6c8a80
217	R_PHT_ROI	#cff6d5
218	R_PH_ROI	#4a80a0
219	R_TPOJ1_ROI	#7c5e4e
220	R_TPOJ2_ROI	#859e8a
221	R_TPOJ3_ROI	#668b8f
222	R_DVT_ROI	#7b84c5
223	R_PGp_ROI	#97c8dd
224	R_IP2_ROI	#bdafb1
225	R_IP1_ROI	#837481
226	R_IP0_ROI	#6da3d2
227	R_PFop_ROI	#a3bd82
228	R_PF_ROI	#fff7d7
229	R_PFm_ROI	#ab7a86
230	R_PGi_ROI	#3c3e38
231	R_PGs_ROI	#695252
232	R_V6A_ROI	#3466b3
233	R_VMV1_ROI	#3b46ad
234	R_VMV3_ROI	#3342a3
235	R_PHA2_ROI	#575f63
236	R_V4t_ROI	#125d84
237	R_FST_ROI	#4a9f92
238	R_V3CD_ROI	#1c46ca
239	R_LO3_ROI	#4166ae
240	R_VMV2_ROI	#4449af
241	R_31pd_ROI	#632c52
242	R_31a_ROI	#92627c
243	R_VVC_ROI	#3a437b
244	R_25_ROI	#23130d
245	R_s32_ROI	#200906
246	R_pOFC_ROI	#643946
247	R_PoI1_ROI	#b6706a
248	R_Ig_ROI	#6a8028
249	R_FOP5_ROI	#ad5e6d
250	R_p10p_ROI	#694858
251	R_p47r_ROI	#a1707d
252	R_TGv_ROI	#3e4037
253	R_MBelt_ROI	#bc0916
254	R_LBelt_ROI	#d4161e
255	R_A4_ROI	#9b2208
256	R_STSva_ROI	#2b231c
257	R_TE1m_ROI	#5c353c
258	R_PI_ROI	#7e3538
259	R_a32pr_ROI	#9e4d6a
260	R_p24_ROI	#7d254a
261	L_V1_ROI	#4309ff
262	L_MST_ROI	#305b7e
263	L_V6_ROI	#3054a8
264	L_V2_ROI	#0d33ec
265	L_V3_ROI	#0521e9
266	L_V4_ROI	#0813d4
267	L_V8_ROI	#1229be
268	L_4_ROI	#1cad14
269	L_3b_ROI	#1dcc13
270	L_FEF_ROI	#848f88
271	L_PEF_ROI	#899c93
272	L_55b_ROI	#3b5630
273	L_V3A_ROI	#023bf7
274	L_RSC_ROI	#96407b
275	L_POS2_ROI	#ba5eba
276	L_V7_ROI	#0848bb
277	L_IPS1_ROI	#2e6ba4
278	L_FFC_ROI	#395476
279	L_V3B_ROI	#132fc9
280	L_LO1_ROI	#0029b8
281	L_LO2_ROI	#081db6
282	L_PIT_ROI	#1b1fac
283	L_MT_ROI	#175160
284	L_A1_ROI	#e1162a
285	L_PSL_ROI	#62482e
286	L_SFL_ROI	#133015
287	L_PCV_ROI	#82859a
288	L_STV_ROI	#855249
289	L_7Pm_ROI	#97b8ba
290	L_7m_ROI	#212324
291	L_POS1_ROI	#4f3957
292	L_23d_ROI	#6e3851
293	L_v23ab_ROI	#130007
294	L_d23ab_ROI	#431c31
295	L_31pv_ROI	#2f1129
296	L_5m_ROI	#25a630
297	L_5mv_ROI	#90ac84
298	L_23c_ROI	#cfbbbe
299	L_5L_ROI	#359e42
300	L_24dd_ROI	#3a9f25
301	L_24dv_ROI	#779b43
302	L_7AL_ROI	#69c587
303	L_SCEF_ROI	#639052
304	L_6ma_ROI	#8bad85
305	L_7Am_ROI	#b0f4df
306	L_7PL_ROI	#acffee
307	L_7PC_ROI	#3daf6c
308	L_LIPv_ROI	#3e6fa3
309	L_VIP_ROI	#2d8e8a
310	L_MIP_ROI	#82ccc7
311	L_1_ROI	#0ac222
312	L_2_ROI	#2caf3e
313	L_3a_ROI	#2cdd15
314	L_6d_ROI	#15a022
315	L_6mp_ROI	#3da02a
316	L_6v_ROI	#43ab35
317	L_p24pr_ROI	#858362
318	L_33pr_ROI	#816f64
319	L_a24pr_ROI	#9f7a76
320	L_p32pr_ROI	#968974
321	L_a24_ROI	#410a14
322	L_d32_ROI	#5b292e
323	L_8BM_ROI	#6c5152
324	L_p32_ROI	#5d2034
325	L_10r_ROI	#130500
326	L_47m_ROI	#63524d
327	L_8Av_ROI	#37392e
328	L_8Ad_ROI	#3d3d2e
329	L_9m_ROI	#242715
330	L_8BL_ROI	#172512
331	L_9p_ROI	#24291c
332	L_10d_ROI	#1f221b
333	L_8C_ROI	#624f52
334	L_44_ROI	#475238
335	L_45_ROI	#2d4029
336	L_47l_ROI	#27311e
337	L_a47r_ROI	#514945
338	L_6r_ROI	#accd92
339	L_IFJa_ROI	#736b5c
340	L_IFJp_ROI	#808d79
341	L_IFSp_ROI	#64615c
342	L_IFSa_ROI	#b9bcae
343	L_p9-46v_ROI	#8b9087
344	L_46_ROI	#c9d2c4
345	L_a9-46v_ROI	#8b6d82
346	L_9-46d_ROI	#816f7e
347	L_9a_ROI	#2e362e
348	L_10v_ROI	#031f0a
349	L_a10p_ROI	#5c4352
350	L_10pp_ROI	#363338
351	L_11l_ROI	#816a77
352	L_13l_ROI	#573e49
353	L_OFC_ROI	#282722
354	L_47s_ROI	#3d2522
355	L_LIPd_ROI	#9bacca
356	L_6a_ROI	#79c087
357	L_i6-8_ROI	#61645a
358	L_s6-8_ROI	#5d5a4b
359	L_43_ROI	#85883c
360	L_OP4_ROI	#61962a
361	L_OP1_ROI	#5e9925
362	L_OP2-3_ROI	#857731
363	L_52_ROI	#d04b3c
364	L_RI_ROI	#a64518
365	L_PFcm_ROI	#b1915a
366	L_PoI2_ROI	#7a7e51
367	L_TA2_ROI	#7d2816
368	L_FOP4_ROI	#a98979
369	L_MI_ROI	#946e68
370	L_Pir_ROI	#5b4641
371	L_AVI_ROI	#854652
372	L_AAIC_ROI	#542128
373	L_FOP1_ROI	#8e904e
374	L_FOP3_ROI	#ac8563
375	L_FOP2_ROI	#619c39
376	L_PFt_ROI	#87df8d
377	L_AIP_ROI	#89dba4
378	L_EC_ROI	#2e3127
379	L_PreS_ROI	#5f3c58
380	L_ProS_ROI	#5c46af
381	L_PeEc_ROI	#3d4139
382	L_STGa_ROI	#2e2d17
383	L_PBelt_ROI	#bb1a07
384	L_A5_ROI	#5a2c09
385	L_PHA1_ROI	#463553
386	L_PHA3_ROI	#6a687b
387	L_STSda_ROI	#3e3522
388	L_STSdp_ROI	#393922
389	L_STSvp_ROI	#403534
390	L_TGd_ROI	#1c2417
391	L_TE1a_ROI	#030f01
392	L_TE1p_ROI	#686360
393	L_TE2a_ROI	#44403b
394	L_TF_ROI	#3c4638
395	L_TE2p_ROI	#718d80
396	L_PHT_ROI	#e9fae3
397	L_PH_ROI	#5378a0
398	L_TPOJ1_ROI	#765c45
399	L_TPOJ2_ROI	#979a8a
400	L_TPOJ3_ROI	#768792
401	L_DVT_ROI	#7179c1
402	L_PGp_ROI	#a1bbe6
403	L_IP2_ROI	#b8a6b4
404	L_IP1_ROI	#797a87
405	L_IP0_ROI	#719ace
406	L_PFop_ROI	#afc98b
407	L_PF_ROI	#fff8df
408	L_PFm_ROI	#896773
409	L_PGi_ROI	#334033
410	L_PGs_ROI	#44463b
411	L_V6A_ROI	#1c5ca6
412	L_VMV1_ROI	#3c3eb0
413	L_VMV3_ROI	#3039a6
414	L_PHA2_ROI	#5b545a
415	L_V4t_ROI	#0a4b81
416	L_FST_ROI	#529495
417	L_V3CD_ROI	#0f2eb4
418	L_LO3_ROI	#355aaa
419	L_VMV2_ROI	#453ca9
420	L_31pd_ROI	#372137
421	L_31a_ROI	#91647c
422	L_VVC_ROI	#33397b
423	L_25_ROI	#1e1709
424	L_s32_ROI	#2c2213
425	L_pOFC_ROI	#523942
426	L_PoI1_ROI	#a97366
427	L_Ig_ROI	#5c8a24
428	L_FOP5_ROI	#976066
429	L_p10p_ROI	#5d4053
430	L_p47r_ROI	#857674
431	L_TGv_ROI	#253529
432	L_MBelt_ROI	#b61312
433	L_LBelt_ROI	#e6131b
434	L_A4_ROI	#922404
435	L_STSva_ROI	#181f12
436	L_TE1m_ROI	#432f30
437	L_PI_ROI	#793531
438	L_a32pr_ROI	#804255
439	L_p24_ROI	#762546
