index	name	color
0	Unknown	#000000
1	Left-Thalamus-Proper	#00760e
2	Left-Caudate	#7abadc
3	Left-Putamen	#ec0db0
4	Left-Pallidum	#0c30ff
5	Left-Hippocampus	#dcd814
6	Left-Amygdala	#67ffff
7	Left-Accumbens-area	#ffa500
8	Left-VentralDC	#a52a2a
9	Right-Thalamus-Proper	#00760e
10	Right-Caudate	#7abadc
11	Right-Putamen	#ec0db0
12	Right-Pallidum	#0d30ff
13	Right-Hippocampus	#dcd814
14	Right-Amygdala	#67ffff
15	Right-Accumbens-area	#ffa500
16	Right-VentralDC	#a52a2a
17	Cbm_Left_I_IV	#4682b4
18	Cbm_Left_V	#cd3e4e
19	Cbm_Left_VI	#c43afa
20	Cbm_Left_CrusI	#e69422
21	Cbm_Left_CrusII	#7abadc
22	Cbm_Left_VIIb	#ccb68e
23	Cbm_Left_VIIIa	#dcd814
24	Cbm_Left_VIIIb	#3c3ad2
25	Cbm_Left_IX	#3c3ad2
26	Cbm_Left_X	#ffa500
27	Cbm_Right_I_IV	#f5f5f5
28	Cbm_Right_V	#781286
29	Cbm_Right_VI	#dcf8a4
30	Cbm_Right_CrusI	#00760e
31	Cbm_Right_CrusII	#0c30ff
32	Cbm_Right_VIIb	#779fb0
33	Cbm_Right_VIIIa	#50c462
34	Cbm_Right_VIIIb	#3c3ad2
35	Cbm_Right_IX	#ffa500
36	Cbm_Right_X	#a52a2a
37	Cbm_Vermis_VI	#009400
38	Cbm_Vermis_CrusII	#ec0db0
39	Cbm_Vermis_VIIb	#2acca4
40	Cbm_Vermis_VIIIa	#67ffff
41	Cbm_Vermis_VIIIb	#3c3ad2
42	Cbm_Vermis_IX	#3c3c3c
43	Cbm_Vermis_X	#00ff7f
44	ctx-lh-bankssts	#196428
45	ctx-lh-caudalanteriorcingulate	#7d64a0
46	ctx-lh-caudalmiddlefrontal	#641900
47	ctx-lh-cuneus	#dc1464
48	ctx-lh-entorhinal	#dc140a
49	ctx-lh-fusiform	#b4dc8c
50	ctx-lh-inferiorparietal	#dc3cdc
51	ctx-lh-inferiortemporal	#b42878
52	ctx-lh-isthmuscingulate	#8c148c
53	ctx-lh-lateraloccipital	#141e8c
54	ctx-lh-lateralorbitofrontal	#234b32
55	ctx-lh-lingual	#e18c8c
56	ctx-lh-medialorbitofrontal	#c8234b
57	ctx-lh-middletemporal	#a06432
58	ctx-lh-parahippocampal	#14dc3c
59	ctx-lh-paracentral	#3cdc3c
60	ctx-lh-parsopercularis	#dcb48c
61	ctx-lh-parsorbitalis	#146432
62	ctx-lh-parstriangularis	#dc3c14
63	ctx-lh-pericalcarine	#78643c
64	ctx-lh-postcentral	#dc1414
65	ctx-lh-posteriorcingulate	#dcb4dc
66	ctx-lh-precentral	#3c14dc
67	ctx-lh-precuneus	#a08cb4
68	ctx-lh-rostralanteriorcingulate	#50148c
69	ctx-lh-rostralmiddlefrontal	#4b327d
70	ctx-lh-superiorfrontal	#14dca0
71	ctx-lh-superiorparietal	#14b48c
72	ctx-lh-superiortemporal	#8cdcdc
73	ctx-lh-supramarginal	#50a014
74	ctx-lh-frontalpole	#640064
75	ctx-lh-temporalpole	#464646
76	ctx-lh-transversetemporal	#9696c8
77	ctx-lh-insula	#ffc020
78	ctx-rh-bankssts	#196428
79	ctx-rh-caudalanteriorcingulate	#7d64a0
80	ctx-rh-caudalmiddlefrontal	#641900
81	ctx-rh-cuneus	#dc1464
82	ctx-rh-entorhinal	#dc140a
83	ctx-rh-fusiform	#b4dc8c
84	ctx-rh-inferiorparietal	#dc3cdc
85	ctx-rh-inferiortemporal	#b42878
86	ctx-rh-isthmuscingulate	#8c148c
87	ctx-rh-lateraloccipital	#141e8c
88	ctx-rh-lateralorbitofrontal	#234b32
89	ctx-rh-lingual	#e18c8c
90	ctx-rh-medialorbitofrontal	#c8234b
91	ctx-rh-middletemporal	#a06432
92	ctx-rh-parahippocampal	#14dc3c
93	ctx-rh-paracentral	#3cdc3c
94	ctx-rh-parsopercularis	#dcb48c
95	ctx-rh-parsorbitalis	#146432
96	ctx-rh-parstriangularis	#dc3c14
97	ctx-rh-pericalcarine	#78643c
98	ctx-rh-postcentral	#dc1414
99	ctx-rh-posteriorcingulate	#dcb4dc
100	ctx-rh-precentral	#3c14dc
101	ctx-rh-precuneus	#a08cb4
102	ctx-rh-rostralanteriorcingulate	#50148c
103	ctx-rh-rostralmiddlefrontal	#4b327d
104	ctx-rh-superiorfrontal	#14dca0
105	ctx-rh-superiorparietal	#14b48c
106	ctx-rh-superiortemporal	#8cdcdc
107	ctx-rh-supramarginal	#50a014
108	ctx-rh-frontalpole	#640064
109	ctx-rh-temporalpole	#464646
110	ctx-rh-transversetemporal	#9696c8
111	ctx-rh-insula	#ffc020
