index	name	color
1	Shen1_Frontoparietal	#3ec1c1
2	Shen2_SubcorticalCerebellum	#ff0702
3	Shen3_Default	#f3f300
4	Shen4_Frontoparietal	#40c3c2
5	Shen5_Default	#efef00
6	Shen6_Default	#ebeb00
7	Shen7_Frontoparietal	#30b8b8
8	Shen8_Frontoparietal	#32b9b9
9	Shen9_Frontoparietal	#3dc0c0
10	Shen10_MedialFrontal	#8b2eff
11	Shen11_SubcorticalCerebellum	#ff2c18
12	Shen12_MedialFrontal	#9947ff
13	Shen13_Default	#ecec00
14	Shen14_Frontoparietal	#08a7a7
15	Shen15_SubcorticalCerebellum	#ff1407
16	Shen16_MedialFrontal	#a051ff
17	Shen17_Frontoparietal	#3ec1c2
18	Shen18_SubcorticalCerebellum	#ff1207
19	Shen19_Frontoparietal	#3dc1c1
20	Shen20_SubcorticalCerebellum	#ff190b
21	Shen21_Frontoparietal	#23b1b0
22	Shen22_Frontoparietal	#02a6a6
23	Shen23_Motor	#0258ff
24	Shen24_Motor	#0044ff
25	Shen25_Motor	#0036ff
26	Shen26_Motor	#0052ff
27	Shen27_Motor	#0053ff
28	Shen28_SubcorticalCerebellum	#ff1508
29	Shen29_SubcorticalCerebellum	#ff3720
30	Shen30_Frontoparietal	#43c5c5
31	Shen31_Frontoparietal	#43c5c6
32	Shen32_SubcorticalCerebellum	#ff1307
33	Shen33_Motor	#001eff
34	Shen34_Motor	#0459ff
35	Shen35_Motor	#001aff
36	Shen36_SubcorticalCerebellum	#ff1c0d
37	Shen37_Motor	#0038ff
38	Shen38_Motor	#0258fe
39	Shen39_Motor	#0038fe
40	Shen40_Motor	#075bff
41	Shen41_VisualAssociation	#d8321e
42	Shen42_Visual1	#ff02ff
43	Shen43_VisualAssociation	#c62413
44	Shen44_SubcorticalCerebellum	#ff331d
45	Shen45_Motor	#0046ff
46	Shen46_Motor	#002dff
47	Shen47_Frontoparietal	#0ba8a8
48	Shen48_Frontoparietal	#32b9ba
49	Shen49_Default	#ffff17
50	Shen50_Default	#ffff16
51	Shen51_Motor	#0026ff
52	Shen52_MedialFrontal	#8418ff
53	Shen53_MedialFrontal	#943fff
54	Shen54_MedialFrontal	#851dff
55	Shen55_Frontoparietal	#1daeae
56	Shen56_MedialFrontal	#8722ff
57	Shen57_MedialFrontal	#8c2fff
58	Shen58_Motor	#0000ff
59	Shen59_VisualAssociation	#d8321f
60	Shen60_Motor	#0054ff
61	Shen61_Motor	#0003ff
62	Shen62_Motor	#004aff
63	Shen63_Motor	#002eff
64	Shen64_MedialFrontal	#8826ff
65	Shen65_MedialFrontal	#9b4aff
66	Shen66_VisualAssociation	#d02c19
67	Shen67_VisualAssociation	#b31207
68	Shen68_Visual1	#ff09ff
69	Shen69_VisualAssociation	#d7311d
70	Shen70_Frontoparietal	#3ec1c3
71	Shen71_VisualAssociation	#da331f
72	Shen72_Visual1	#ff3fff
73	Shen73_VisualAssociation	#d12d1a
74	Shen74_VisualAssociation	#c01f10
75	Shen75_Visual1	#ff49ff
76	Shen76_Visual2	#34ff26
77	Shen77_Visual1	#ff15ff
78	Shen78_Visual2	#3cff2c
79	Shen79_Visual1	#ff20ff
80	Shen80_Visual1	#ff3dff
81	Shen81_Visual2	#1fff15
82	Shen82_Visual1	#ff39ff
83	Shen83_SubcorticalCerebellum	#ff331e
84	Shen84_Motor	#0b5eff
85	Shen85_Default	#ffff18
86	Shen86_Default	#f2f100
87	Shen87_Visual1	#ff36ff
88	Shen88_SubcorticalCerebellum	#ff2b17
89	Shen89_Motor	#0049ff
90	Shen90_Default	#f7f700
91	Shen91_SubcorticalCerebellum	#ff180a
92	Shen92_Motor	#0038fd
93	Shen93_SubcorticalCerebellum	#ff2211
94	Shen94_SubcorticalCerebellum	#ff2715
95	Shen95_SubcorticalCerebellum	#ff2513
96	Shen96_Default	#ffff0d
97	Shen97_Motor	#0459fe
98	Shen98_Visual1	#ff2aff
99	Shen99_SubcorticalCerebellum	#ff1208
100	Shen100_Visual2	#26ff1b
101	Shen101_SubcorticalCerebellum	#ff2b18
102	Shen102_Visual2	#2cff20
103	Shen103_SubcorticalCerebellum	#ff2412
104	Shen104_SubcorticalCerebellum	#ff3821
105	Shen105_SubcorticalCerebellum	#ff3d24
106	Shen106_SubcorticalCerebellum	#ff190c
107	Shen107_SubcorticalCerebellum	#ff0903
108	Shen108_SubcorticalCerebellum	#ff1709
109	Shen109_Motor	#004fff
110	Shen110_SubcorticalCerebellum	#ff2312
111	Shen111_Frontoparietal	#32b9bb
112	Shen112_Frontoparietal	#25b2b2
113	Shen113_SubcorticalCerebellum	#ff2514
114	Shen114_SubcorticalCerebellum	#ff1209
115	Shen115_Default	#f9f900
116	Shen116_Frontoparietal	#19acac
117	Shen117_SubcorticalCerebellum	#ff361f
118	Shen118_SubcorticalCerebellum	#ff0201
119	Shen119_SubcorticalCerebellum	#ff2212
120	Shen120_SubcorticalCerebellum	#ff2313
121	Shen121_SubcorticalCerebellum	#ff341e
122	Shen122_SubcorticalCerebellum	#ff3820
123	Shen123_SubcorticalCerebellum	#ff2f1a
124	Shen124_SubcorticalCerebellum	#ff3a22
125	Shen125_SubcorticalCerebellum	#ff2614
126	Shen126_SubcorticalCerebellum	#ff2e19
127	Shen127_SubcorticalCerebellum	#ff170a
128	Shen128_SubcorticalCerebellum	#ff1d0e
129	Shen129_SubcorticalCerebellum	#ff3721
130	Shen130_SubcorticalCerebellum	#ff0f05
131	Shen131_SubcorticalCerebellum	#ff3b23
132	Shen132_SubcorticalCerebellum	#ff2a17
133	Shen133_SubcorticalCerebellum	#ff2515
134	Shen134_Default	#ffff01
135	Shen135_SubcorticalCerebellum	#ff0a03
136	Shen136_SubcorticalCerebellum	#ff180b
137	Shen137_MedialFrontal	#8211ff
138	Shen138_Default	#eceb00
139	Shen139_Frontoparietal	#38bdbd
140	Shen140_MedialFrontal	#8419ff
141	Shen141_Default	#fafa00
142	Shen142_Frontoparietal	#3fc2c2
143	Shen143_Frontoparietal	#39bebe
144	Shen144_SubcorticalCerebellum	#ff301b
145	Shen145_MedialFrontal	#8b2dff
146	Shen146_SubcorticalCerebellum	#ff301c
147	Shen147_Frontoparietal	#18acac
148	Shen148_MedialFrontal	#8b2dfe
149	Shen149_MedialFrontal	#9541ff
150	Shen150_MedialFrontal	#8929ff
151	Shen151_MedialFrontal	#9642ff
152	Shen152_SubcorticalCerebellum	#ff2716
153	Shen153_MedialFrontal	#8a2bff
154	Shen154_Frontoparietal	#32b9bc
155	Shen155_SubcorticalCerebellum	#ff3c23
156	Shen156_MedialFrontal	#851bff
157	Shen157_Frontoparietal	#29b4b4
158	Shen158_Motor	#0046fe
159	Shen159_Motor	#0040ff
160	Shen160_Motor	#0008ff
161	Shen161_Motor	#0040fe
162	Shen162_MedialFrontal	#933eff
163	Shen163_Motor	#003fff
164	Shen164_Frontoparietal	#18acad
165	Shen165_MedialFrontal	#8825ff
166	Shen166_Motor	#0004ff
167	Shen167_Motor	#002dfe
168	Shen168_Motor	#004ffe
169	Shen169_SubcorticalCerebellum	#ff0202
170	Shen170_Motor	#0045ff
171	Shen171_Motor	#004dff
172	Shen172_Motor	#004dfe
173	Shen173_Motor	#002bff
174	Shen174_Motor	#0030ff
175	Shen175_VisualAssociation	#bc1b0d
176	Shen176_Visual1	#ff3eff
177	Shen177_VisualAssociation	#c82515
178	Shen178_SubcorticalCerebellum	#ff2815
179	Shen179_Motor	#0027ff
180	Shen180_Motor	#0022ff
181	Shen181_Motor	#0a5eff
182	Shen182_Frontoparietal	#14aaaa
183	Shen183_MedialFrontal	#9947fe
184	Shen184_Frontoparietal	#3ec1c4
185	Shen185_MedialFrontal	#9541fe
186	Shen186_MedialFrontal	#8a2bfe
187	Shen187_MedialFrontal	#a153ff
188	Shen188_Motor	#0048ff
189	Shen189_Motor	#0011ff
190	Shen190_MedialFrontal	#861fff
191	Shen191_Motor	#0023ff
192	Shen192_MedialFrontal	#a154ff
193	Shen193_Frontoparietal	#42c4c4
194	Shen194_MedialFrontal	#943ffe
195	Shen195_Motor	#0036fe
196	Shen196_Frontoparietal	#37bcbc
197	Shen197_Motor	#0054fe
198	Shen198_Visual1	#ff33ff
199	Shen199_Frontoparietal	#07a7a7
200	Shen200_VisualAssociation	#cc2817
201	Shen201_VisualAssociation	#c01e0f
202	Shen202_Motor	#003eff
203	Shen203_Default	#efef01
204	Shen204_VisualAssociation	#b31208
205	Shen205_Visual1	#ff46ff
206	Shen206_VisualAssociation	#ce2a18
207	Shen207_Visual1	#ff2bff
208	Shen208_Visual1	#ff20fe
209	Shen209_VisualAssociation	#c62313
210	Shen210_VisualAssociation	#d12d1b
211	Shen211_Visual1	#ff3dfe
212	Shen212_Visual2	#20ff16
213	Shen213_Visual2	#4aff38
214	Shen214_Visual2	#08ff05
215	Shen215_Visual1	#ff2afe
216	Shen216_Visual1	#ff2eff
217	Shen217_SubcorticalCerebellum	#ff0f06
218	Shen218_Motor	#000aff
219	Shen219_MedialFrontal	#9a49ff
220	Shen220_SubcorticalCerebellum	#ff1206
221	Shen221_SubcorticalCerebellum	#ff2314
222	Shen222_Default	#ffff19
223	Shen223_Default	#f5f500
224	Shen224_SubcorticalCerebellum	#ff301d
225	Shen225_Default	#f2f200
226	Shen226_SubcorticalCerebellum	#ff0c04
227	Shen227_Default	#efee00
228	Shen228_Motor	#0258fd
229	Shen229_SubcorticalCerebellum	#ff3b24
230	Shen230_SubcorticalCerebellum	#ff3722
231	Shen231_SubcorticalCerebellum	#ff311c
232	Shen232_SubcorticalCerebellum	#ff0f07
233	Shen233_SubcorticalCerebellum	#ff2916
234	Shen234_SubcorticalCerebellum	#ff321c
235	Shen235_Motor	#0038fc
236	Shen236_SubcorticalCerebellum	#ff331f
237	Shen237_SubcorticalCerebellum	#ff2d19
238	Shen238_SubcorticalCerebellum	#ff170b
239	Shen239_Default	#fdfd00
240	Shen240_VisualAssociation	#c11f10
241	Shen241_Visual2	#45ff34
242	Shen242_Frontoparietal	#2fb7b7
243	Shen243_SubcorticalCerebellum	#ff2a16
244	Shen244_SubcorticalCerebellum	#ff0401
245	Shen245_SubcorticalCerebellum	#ff1d0f
246	Shen246_Frontoparietal	#32b9bd
247	Shen247_Frontoparietal	#3dc0c1
248	Shen248_SubcorticalCerebellum	#ff1f0f
249	Shen249_SubcorticalCerebellum	#ff311d
250	Shen250_SubcorticalCerebellum	#ff3620
251	Shen251_SubcorticalCerebellum	#ff2516
252	Shen252_SubcorticalCerebellum	#ff2213
253	Shen253_SubcorticalCerebellum	#ff2214
254	Shen254_SubcorticalCerebellum	#ff3921
255	Shen255_SubcorticalCerebellum	#ff2a18
256	Shen256_SubcorticalCerebellum	#ff2816
257	Shen257_SubcorticalCerebellum	#ff301e
258	Shen258_SubcorticalCerebellum	#ff3822
259	Shen259_SubcorticalCerebellum	#ff0703
260	Shen260_SubcorticalCerebellum	#ff3c24
261	Shen261_SubcorticalCerebellum	#ff1b0c
262	Shen262_SubcorticalCerebellum	#ff2215
263	Shen263_SubcorticalCerebellum	#ff3723
264	Shen264_SubcorticalCerebellum	#ff0301
265	Shen265_SubcorticalCerebellum	#ff2917
266	Shen266_SubcorticalCerebellum	#ff1d10
267	Shen267_SubcorticalCerebellum	#ff1c0e
268	Shen268_SubcorticalCerebellum	#ff1d0d
