index	name	color
0	NONE	#000000
1	17Networks_1_VisualA	#781286
2	17Networks_2_VisualB	#ff0000
3	17Networks_3_SomatomotorA	#4682b4
4	17Networks_4_SomatomotorB	#2acca4
5	17Networks_5_DorsalAttentionA	#4a9b3c
6	17Networks_6_DorsalAttentionB	#00760e
7	17Networks_7_SalienceVenAttnA	#c43afa
8	17Networks_8_SalienceVenAttnB	#ff98d5
9	17Networks_9_LimbicB	#dcf8a4
10	17Networks_10_LimbicA	#7a8732
11	17Networks_11_ControlC	#778cb0
12	17Networks_12_ControlA	#e69422
13	17Networks_13_ControlB	#87324a
14	17Networks_14_TemporalParietal	#0c30ff
15	17Networks_15_DefaultC	#000082
16	17Networks_16_DefaultA	#ffff00
17	17Networks_17_DefaultB	#cd3e4e
