Node,NetworkName
1,Frontoparietal
2,SubcorticalCerebellum
3,Default
4,Frontoparietal
5,Default
6,Default
7,Frontoparietal
8,Frontoparietal
9,Frontoparietal
10,MedialFrontal
11,SubcorticalCerebellum
12,MedialFrontal
13,Default
14,Frontoparietal
15,SubcorticalCerebellum
16,MedialFrontal
17,Frontoparietal
18,SubcorticalCerebellum
19,Frontoparietal
20,SubcorticalCerebellum
21,Frontoparietal
22,Frontoparietal
23,Motor
24,Motor
25,Motor
26,Motor
27,Motor
28,SubcorticalCerebellum
29,SubcorticalCerebellum
30,Frontoparietal
31,Frontoparietal
32,SubcorticalCerebellum
33,Motor
34,Motor
35,Motor
36,SubcorticalCerebellum
37,Motor
38,Motor
39,Motor
40,Motor
41,VisualAssociation
42,Visual1
43,VisualAssociation
44,SubcorticalCerebellum
45,Motor
46,Motor
47,Frontoparietal
48,Frontoparietal
49,Default
50,Default
51,Motor
52,MedialFrontal
53,MedialFrontal
54,MedialFrontal
55,Frontoparietal
56,MedialFrontal
57,MedialFrontal
58,Motor
59,VisualAssociation
60,Motor
61,Motor
62,Motor
63,Motor
64,MedialFrontal
65,MedialFrontal
66,VisualAssociation
67,VisualAssociation
68,Visual1
69,VisualAssociation
70,Frontoparietal
71,VisualAssociation
72,Visual1
73,VisualAssociation
74,VisualAssociation
75,Visual1
76,Visual2
77,Visual1
78,Visual2
79,Visual1
80,Visual1
81,Visual2
82,Visual1
83,SubcorticalCerebellum
84,Motor
85,Default
86,Default
87,Visual1
88,SubcorticalCerebellum
89,Motor
90,Default
91,SubcorticalCerebellum
92,Motor
93,SubcorticalCerebellum
94,SubcorticalCerebellum
95,SubcorticalCerebellum
96,Default
97,Motor
98,Visual1
99,SubcorticalCerebellum
100,Visual2
101,SubcorticalCerebellum
102,Visual2
103,SubcorticalCerebellum
104,SubcorticalCerebellum
105,SubcorticalCerebellum
106,SubcorticalCerebellum
107,SubcorticalCerebellum
108,SubcorticalCerebellum
109,Motor
110,SubcorticalCerebellum
111,Frontoparietal
112,Frontoparietal
113,SubcorticalCerebellum
114,SubcorticalCerebellum
115,Default
116,Frontoparietal
117,SubcorticalCerebellum
118,SubcorticalCerebellum
119,SubcorticalCerebellum
120,SubcorticalCerebellum
121,SubcorticalCerebellum
122,SubcorticalCerebellum
123,SubcorticalCerebellum
124,SubcorticalCerebellum
125,SubcorticalCerebellum
126,SubcorticalCerebellum
127,SubcorticalCerebellum
128,SubcorticalCerebellum
129,SubcorticalCerebellum
130,SubcorticalCerebellum
131,SubcorticalCerebellum
132,SubcorticalCerebellum
133,SubcorticalCerebellum
134,Default
135,SubcorticalCerebellum
136,SubcorticalCerebellum
137,MedialFrontal
138,Default
139,Frontoparietal
140,MedialFrontal
141,Default
142,Frontoparietal
143,Frontoparietal
144,SubcorticalCerebellum
145,MedialFrontal
146,SubcorticalCerebellum
147,Frontoparietal
148,MedialFrontal
149,MedialFrontal
150,MedialFrontal
151,MedialFrontal
152,SubcorticalCerebellum
153,MedialFrontal
154,Frontoparietal
155,SubcorticalCerebellum
156,MedialFrontal
157,Frontoparietal
158,Motor
159,Motor
160,Motor
161,Motor
162,MedialFrontal
163,Motor
164,Frontoparietal
165,MedialFrontal
166,Motor
167,Motor
168,Motor
169,SubcorticalCerebellum
170,Motor
171,Motor
172,Motor
173,Motor
174,Motor
175,VisualAssociation
176,Visual1
177,VisualAssociation
178,SubcorticalCerebellum
179,Motor
180,Motor
181,Motor
182,Frontoparietal
183,MedialFrontal
184,Frontoparietal
185,MedialFrontal
186,MedialFrontal
187,MedialFrontal
188,Motor
189,Motor
190,MedialFrontal
191,Motor
192,MedialFrontal
193,Frontoparietal
194,MedialFrontal
195,Motor
196,Frontoparietal
197,Motor
198,Visual1
199,Frontoparietal
200,VisualAssociation
201,VisualAssociation
202,Motor
203,Default
204,VisualAssociation
205,Visual1
206,VisualAssociation
207,Visual1
208,Visual1
209,VisualAssociation
210,VisualAssociation
211,Visual1
212,Visual2
213,Visual2
214,Visual2
215,Visual1
216,Visual1
217,SubcorticalCerebellum
218,Motor
219,MedialFrontal
220,SubcorticalCerebellum
221,SubcorticalCerebellum
222,Default
223,Default
224,SubcorticalCerebellum
225,Default
226,SubcorticalCerebellum
227,Default
228,Motor
229,SubcorticalCerebellum
230,SubcorticalCerebellum
231,SubcorticalCerebellum
232,SubcorticalCerebellum
233,SubcorticalCerebellum
234,SubcorticalCerebellum
235,Motor
236,SubcorticalCerebellum
237,SubcorticalCerebellum
238,SubcorticalCerebellum
239,Default
240,VisualAssociation
241,Visual2
242,Frontoparietal
243,SubcorticalCerebellum
244,SubcorticalCerebellum
245,SubcorticalCerebellum
246,Frontoparietal
247,Frontoparietal
248,SubcorticalCerebellum
249,SubcorticalCerebellum
250,SubcorticalCerebellum
251,SubcorticalCerebellum
252,SubcorticalCerebellum
253,SubcorticalCerebellum
254,SubcorticalCerebellum
255,SubcorticalCerebellum
256,SubcorticalCerebellum
257,SubcorticalCerebellum
258,SubcorticalCerebellum
259,SubcorticalCerebellum
260,SubcorticalCerebellum
261,SubcorticalCerebellum
262,SubcorticalCerebellum
263,SubcorticalCerebellum
264,SubcorticalCerebellum
265,SubcorticalCerebellum
266,SubcorticalCerebellum
267,SubcorticalCerebellum
268,SubcorticalCerebellum
